Class Title,Attribute/Class/Definition/Priority Complete,Description Abbreviation ,Class Matches Library,Attribute Name,Order for Description,"Type (List,MultilineString,Date,Boolean,Integer,Real)","Dimensions (Unit)
AKA Measurement Type",Preferred Unit,"Is Multivalue (True,False)",Description,Default Value,Authorized Values (comma delimited),Authorized Abbreviation (comma delimited),Minimum (inclusive),Maximum (inclusive),"Required (True,False)"
"Bearing, Slew",2,"BRG,SLEW",FALSE,Slew Bearing Teeth,,List,,,FALSE,,,"Internal, External, None","INTL, EXT, NONE",,,
"Bearing, Slew",2,"BRG,SLEW",FALSE,Slew Bearing ID,,Real,Diameter,Inch,FALSE,,,,,,,
"Bearing, Slew",2,"BRG,SLEW",FALSE,Slew Bearing OD,,Real,Diameter,Inch,FALSE,,,,,,,
"Bearing, Slew",2,"BRG,SLEW",FALSE,Max Load,,Real,Weight,Pound,FALSE,,,,,,,
"Bearing, Slew",2,"BRG,SLEW",FALSE,Max Torque,,Real,Torque,Foot-Pounds,FALSE,,,,,,,
"Bearing, Slew",2,"BRG,SLEW",FALSE,Max Rotation Speed,,Real,Angular Velocity,RPM,FALSE,,,,,,,
"Bearing, Slew",2,"BRG,SLEW",FALSE,Sealed,2,Boolean,,,FALSE,,,,,,,
"Belt, Baler",3,"BLT,BALER",FALSE,Length,2,Real,Length,Inch,FALSE,,,,,,,
"Belt, Baler",3,"BLT,BALER",FALSE,Bailer Belt Splice Type,4,List,,,FALSE,,,"Endless, Aligator Rivet","ENDLESS, AR",,,
"Belt, Baler",3,"BLT,BALER",FALSE,Width,1,Real,Length,Inch,FALSE,,,,,,,
"Belt, Baler",4,"BLT,BALER",FALSE,Baler Belt Ply,3,List,,,FALSE,,,"2 Ply, 3 Ply","2PLY, 3PLY",,,
"Belt, Conveyor",3,"BELT,CNVR",FALSE,Length,,Real,Length,Inch,FALSE,,,,,,,
"Belt, Conveyor",3,"BELT,CNVR",FALSE,Conveyor Belt Type,1,List,,,FALSE,,,"FLAT, CLEATED, CHEVRON, MULTI-CHEVRON,","FLAT, CLEAT, CHVRN, MULTCHVRN",,,
"Belt, Conveyor",3,"BELT,CNVR",FALSE,Width,2,Real,Length,Inch,FALSE,,,,,,,
"Belt, Drive",3,"BLET,DR",FALSE,Drive Belt Trade Size,2,List,,,FALSE,,N/A,"2L, 3L, 3V, NA","2L, 3L, 3V, NA",,,TRUE
"Belt, Drive",3,"BLET,DR",FALSE,Drive Belt Outer Cir.,,Real,Length,Inch,FALSE,,,,,,,TRUE
"Belt, Drive",3,"BLET,DR",FALSE,Drive Belt Type,1,List,,,FALSE,,N/A,"Round, Flat, V, Toothed, Link, N/A","RND, FLAT, V, TOOTH, LINK, NA",,,
"Belt, Drive",3,"BLET,DR",FALSE,Width,,Real,Length,Inch,FALSE,,,,,,,
Blower,2,BLO,TRUE,Blower Max Flow,1,Real,Volumetric Flow,CFM,FALSE,,,,,,,TRUE
Blower,2,BLO,TRUE,Max Pressure,,Real,Pressure,PSI,FALSE,,,,,,,TRUE
Blower,2,BLO,TRUE,Blower Max Speed,,Real,Angular Velocity,RPM,FALSE,,,,,,,TRUE
Blower,2,BLO,TRUE,Blower Max Vacuum,,Real,Vacuum,HG,FALSE,,,,,,,TRUE
Bolt,3,BOLT,TRUE,Bolt Type,1,List,,,FALSE,,,"Hex, Carriage, Lag, Flange, Eye, Shoulder, Elevator, MISC.","HEX, CRG, LAG, FLG, EYE, SHLDR, ELEV, MISC",,,TRUE
Bolt,3,BOLT,TRUE,Bolt Coating,5,List,,,FALSE,,,"Brass Plated, Bronze Plated, Chrome Plated, Nickel Plated, Zinc, Hot Dip Galvanized, Electro Galvanized, Grey Phosphate, Ceramic, Blackoxidize, Magnicoat","BRSPLD, BRZPLD, CRPLD, NKLPLD, ZINC, HDGALV, ELECTROGALV, GREYPHOS, CERAMIC, BLKOX, MAGNI",,,TRUE
Bolt,3,BOLT,TRUE,Length,2,Real,Length,Inch,FALSE,,,,,,,TRUE
Bolt,3,BOLT,TRUE,Bolt Grade / Class,3,List,,,FALSE,,,"Grade 2, Grade 5, Grade 8, Class 8.8, Class 10.9, Class 12.9","GR2, GR5, GR8, CL8.8, CL10.9, CL12.9",,,TRUE
Bolt,3,BOLT,TRUE,Bolt Thread Size,4,List,,,FALSE,,,"0-80, 1-64, 1-72, 2-56, 2-64, 3-48, 3-56, 4-40, 4-48, 5-40, 5-44, 6-32, 6-40, 8-32, 8-36, 10-24, 10-32, 12-24, 12-28, 1/4-20, 1/4-28, 5/16-18, 5/16-24, 3/8-16, 3/8-24,7/16-14, 7/16-20, 1/2-13, 1/2-20, 9/16-12, 9/16-18, 5/8-11, 5/8-18, 3/4-10, 3/4-16, 7/8-9, 7/8-14, 1-8, 1-12, M1.4-0.3, M2-0.4, M2.5-0.45, M3-0.5, M3.5-0.6, M4-0.7, M5-0.8, M6-1.0, M7-1.0, M8-1.25, M8-1.0, M10-1.5, M10-1.25, M10-1.0, M12-1.75, M12-1.5, M12-1.25, M14-2.0, M14-1.5, M16-2.0, M16-1.5, M18-2.5, M18-1.5, M20-2.5, M20-1.5, M22-2.5, M24-3.0, M24-2.0, M30-3.5, M36-4.0","0-80, 1-64, 1-72, 2-56, 2-64, 3-48, 3-56, 4-40, 4-48, 5-40, 5-44, 6-32, 6-40, 8-32, 8-36, 10-24, 10-32, 12-24, 12-28, 1_4-20, 1_4-28, 5_16-18, 5_16-24, 3_8-16, 3_8-24,7_16-14, 7_16-20, 1_2-13, 1_2-20, 9_16-12, 9_16-18, 5_8-11, 5_8-18, 3_4-10, 3_4-16, 7_8-9, 7_8-14, 1-8, 1-12, M1.4-0.3, M2-0.4, M2.5-0.45, M3-0.5, M3.5-0.6, M4-0.7, M5-0.8, M6-1.0, M7-1.0, M8-1.25, M8-1.0, M10-1.5, M10-1.25, M10-1.0, M12-1.75, M12-1.5, M12-1.25, M14-2.0, M14-1.5, M16-2.0, M16-1.5, M18-2.5, M18-1.5, M20-2.5, M20-1.5, M22-2.5, M24-3.0, M24-2.0, M30-3.5, M36-4.0",,,TRUE
Brake,2,BRAKE,TRUE,Brake Type,1,List,,,FALSE,,,"Drum, Disc, Roller, Air, Emergency, Parking, ","DRUM, DISC, ROLLER, AIR, EMER, PRKG",,,
Brake,2,BRAKE,TRUE,Pressure,,Real,Pressure,PSI,FALSE,,,,,,,
Burst Protection ,3,BURSTPROTN,FALSE,Sleeve ID ,1,Real,Diameter,mm,FALSE,,,,,,,
Burst Protection ,3,BURSTPROTN,FALSE,Max Pressure Rating,,Real,Pressure ,PSI,FALSE,,,,,,,
Cable Tie,3,CBLTIE,TRUE,Cable Tie Color,,List,,,FALSE,,,"Black, Red, White, Purple, Blue","BLK, RED, WHT, PRP, BLU",,,TRUE
Cable Tie,3,CBLTIE,TRUE,Length,,Real,Length,Inch,FALSE,,,,,,,
Cable Tie,3,CBLTIE,TRUE,Max Bundle Dia,1,Real,Diameter,Inch,FALSE,,,,,,,TRUE
Cable Tie Mount,3,CBLTIEMNT,TRUE,Cable Tie Mnt Type,1,List,,,,,,"Fastener, Adhesive, Snap-In","FSTNR, ADH, SNAP",,,
Cable Tie Mount,3,CBLTIEMNT,TRUE,Cable Tie Mnt Color,,List,,,,,,"Black, Red, White, Purple, Blue","BLK, RED, WHT, PRP, BLU",,,
Caster,2,CASTER,TRUE,Caster Max Load,,Real,Weight,Pound,,,,,,,,
Caster,2,CASTER,TRUE,Caster Type,1,List,,,,,,"Swivel, Rigid","SWVL, RGD",,,
Caster,2,CASTER,TRUE,Caster Mount Type,,List,,,,,,"Plate, Stem, Bracket, Bolt On, Threaded Stud, Socket, Press Fit","PL, STEM, BRKT, BOLTON, MTHRD, SKT, PRSFIT",,,
Caster,2,CASTER,TRUE,Caster Wheel Diameter,3,Real,Diameter,Inch,,,,,,,,
Caster,2,CASTER,TRUE,Caster Wheel Type,2,List,,,,,,"Solid, Tread on Core, Flat Free, Pneumatic, Semi_Pneumatic, Hollow Core","SOLID, TREAD, FLTFREE, PNEU, SEMIPNEU, HOLCORE",,,
"Chassis, Trailer",3,"CHAS,TRLR",FALSE,GVWR,1,Real,Weight,Pound,FALSE,,,,,,,TRUE
"Chassis, Trailer",3,"CHAS,TRLR",FALSE,Trailer No. of Axles,,List,,,FALSE,,,"1 Axle, 2 Axles, 3 Axles","1AXLE, 2AXLE, 3AXLE",,,TRUE
"Chassis, Truck",3,"CHAS,TRK",FALSE,GVWR,1,Real,Weight,Pound,FALSE,,,,,,,TRUE
"Chassis, Truck",3,"CHAS,TRK",FALSE,Truck Manufacturer,2,List,,,FALSE,,,"Kenworth, Mack, Peterbilt, Ford","KW, MACK, PTRB, FORD",,,TRUE
"Chassis, Truck",3,"CHAS,TRK",FALSE,Truck No. of Fixed Axles,,List,,,FALSE,,,"2 Fixed Axles, 3 Fixed Axles, 4 Fixed Axles","2FIX, 3FIX, 4FIX",,,TRUE
"Chassis, Truck",3,"CHAS,TRK",FALSE,Truck No. of Lift Axles,,List,,,FALSE,,,"0 Lift Axles, 1 Lift Axle, 2 Lift Axles, 3 Lift Axles","0LIFT, 1LIFT, 2LIFT, 3LIFT",,,TRUE
"Chassis, Truck",3,"CHAS,TRK",FALSE,Truck Wheelbase,3,Real,Length,Inch,FALSE,,,,,,,TRUE
Chipper Knife,3,CHIPPERKNIFE,FALSE,Bevel Style,,List,,,,,,"Single, Double","SGL, DBL",,,
Chipper Knife,3,CHIPPERKNIFE,FALSE,Edge Style,,List,,,,,,"Single, Double","SGL, DBL",,,
Chipper Knife,3,CHIPPERKNIFE,FALSE,Length,,Real,Length,Inch,FALSE,,,,,,,
Chipper Knife,3,CHIPPERKNIFE,FALSE,Number of Bolts,,Integer,,,FALSE,,,,,,,
Chipper Knife,3,CHIPPERKNIFE,FALSE,Thickness,,Real,Length,Inch,,,,,,,,
Chipper Knife,3,CHIPPERKNIFE,FALSE,Width,,Real,Length,Inch,,,,,,,,
Clamp,2,CLAMP,TRUE,Clamp Type,1,List,,,FALSE,,,"Cushion, P-Clamp, Pinch, Constant Torque T-Bolt, Standard T-Bolt, Constant Torque Worm Gear, Standard Work Gear, Hydraulic","CUSH, PCLAMP, PINCH, CTTBOLT, STDTBOLT, CTWMGR, STDWMGR, HYDR",,,
Clamp,2,CLAMP,TRUE,Clamp Hose OD Min,,Real,Diameter,Inch,FALSE,,,,,,,
Clamp,2,CLAMP,TRUE,Clamp Hose OD Max,,Real,Diameter,Inch,FALSE,,,,,,,
Clevis,3,CLEVIS,TRUE,Clevis Type,1,List,,,,,,"Threaded, Unthreaded","THRD, NOTHRD",,,
Clevis,3,CLEVIS,TRUE,Clevis Pin OD,,Real,Diameter,Inch,,,,,,,,
Clevis,3,CLEVIS,TRUE,Clevis Grip,,Real,Length,Inch,,,,,,,,
Clevis,3,CLEVIS,TRUE,Clevis Thread Dia.,,Real,Diameter,Inch,,,,,,,,
Clevis,3,CLEVIS,TRUE,Clevis Thread Pitch,,List,,,,,,,,,,
Clutch,2,CLUTCH,TRUE,Flywheel Housing Size,3,List,,,FALSE,,,"00, 0, 1_2, 1, 2, 3, 4, 5, 6","00, 0, 1_2, 1, 2, 3, 4, 5, 6",,,
Clutch,2,CLUTCH,TRUE,Clutch Brake,,Boolean,,,FALSE,,,"Brake, No Brake","BK, NOBK",,,
Clutch,2,CLUTCH,TRUE,Clutch Pump Drive,4,Boolean,,,FALSE,,,"Pump Drive, No Pump Drive","PUMPDR, NOPUMPDR",,,
Clutch,2,CLUTCH,TRUE,Clutch Rated Torque,,Real,Torque,Foot-Pound,FALSE,,,,,,,
Clutch,2,CLUTCH,TRUE,Clutch Type,1,List,,,FALSE,,,"Electric, Mechanical, Hydraulic","ELEC, MECH, HYDR",,,
Clutch,2,CLUTCH,TRUE,Output Shaft Diameter,,Real,Diameter,Inch,FALSE,,,,,,,
Clutch,2,CLUTCH,TRUE,Flywheel Size,2,List,,,FALSE,,,"6-1/2, 7-1/2, 8, 10, 11-1/2, 14, 18, 21","6-1_2, 7-1_2, 8, 10, 11-1_2, 14, 18, 21",,,
Clutch,2,CLUTCH,TRUE,Clutch Pack Type,,List,,,FALSE,,,"WET, DRY, NA","WET, DRY, NA",,,
Cone,3,CONE,TRUE,Cone Color,1,List,,,FALSE,,,"Orange, Fluorescent Green","ORN, GRN",,,TRUE
Cooling System,2,CLGSYS,TRUE,Cooler Type,1,List,,,TRUE,,,"Radiator, Oil, Charge Air, Condenser, Fuel","RDTR, OIL, CAC, COND, FUEL",,,TRUE
Cooling System,2,CLGSYS,TRUE,Core Depth,2,Real,Length,Inch,FALSE,,,,,,,TRUE
Cooling System,2,CLGSYS,TRUE,Custom,,Boolean,,,FALSE,,,"Custom, Off The Shelf","CUST, COTS",,,TRUE
Cooling System,2,CLGSYS,TRUE,Number of Cores,,Integer,,,FALSE,,,,,,,TRUE
Cooling System,2,CLGSYS,TRUE,Overall Core Height,,Real,Length,Inch,FALSE,,,,,,,TRUE
Cooling System,2,CLGSYS,TRUE,Overall Core Width,,Real,Length,Inch,FALSE,,,,,,,TRUE
Cooling System,2,CLGSYS,TRUE,Primary Core Fin Density,3,Real,Density,FPI,FALSE,,,,,,,TRUE
Cooling System,2,CLGSYS,TRUE,Surge Tank,,Boolean,,,FALSE,,,"Tank, NoTank","TANK, NOTANK",,,TRUE
Curtain,3,"SAF,CURT",TRUE,Length,,Real,Length,Inch,FALSE,,,,,,,TRUE
Curtain,3,"SAF,CURT",TRUE,Curtain Thickness,,Real,Length,Inch,FALSE,,,,,,,TRUE
Curtain,3,"SAF,CURT",TRUE,Curtain Type,1,List,,,FALSE,,,"Infeed Chute, Loadout Conveyor, Weld","INFEED, CNVR, WELD",,,TRUE
Curtain,3,"SAF,CURT",TRUE,Curtain Width,,Real,Length,Inch,FALSE,,,,,,,TRUE
Cutter Chain,3,CTRCHAIN,FALSE,Super Duty,,Boolean,,,FALSE,,,"SUPER DUTY, -","SUPERDUTY, -",,,
Cutter Chain,3,CTRCHAIN,FALSE,Order Number,,Real,,,FALSE,,,,,,,
