Library Title,Class Title (Level 1),Class Title (Level 2),Class Title (Level 3),Class Title (Level 4),Class Title (Level 5),Status,Owner,Attribute Count,Reviewed,Description Abbreviation,Comments,Description Template,EXAMPLE TITLE,CHARACTER COUNT,Description Template2
Vermeer Part Library,Mechanical,Clutch,,,,,Nick M,8,,CLUTCH,,"CLUTCH,Clamp Hose OD Max,Clevis Pin OD,Thickness,Clamp Type","CLUTCH,MECH,SAE11-1_2,SAE2,NOPUMPDR",35,"CLUTCH,Clutch Type,Flywheel Size,Flywheel Housing Size,Clutch Pump Drive"
Vermeer Part Library,Electrical,Computer,,,,,Jacob K,,,COMPTR,,COMPTR,"COMPTR,RUGGED ",14,COMPTR
Vermeer Part Library,Mechanical,Cooling System,,,,,Nick M,8,,CLGSYS,,"CLGSYS,Clutch Pump Drive,Clutch Type","CLGSYS,RDTR,OIL,CAC,FUEL,4.5IN,12FPI",36,"CLGSYS,Cooler Type,Core Depth,Primary Core Fin Density"
Vermeer Part Library,Electrical,Display,,,,,Chris S,5,,DSPL,,"DSPL,Chain Pin Count,Chain Cut Width,Chain Style","DSPL,10.0IN,BLKWHT,CONT",23,"DSPL,Screen Size,Screen Type,Multifunction"
Vermeer Part Library,Mechanical,Drive Chain,,,,,Erin Z,3,,DRCHAIN,,"DRCHAIN,Screen Type","DRCHAIN,240IN",13,"DRCHAIN,Length,Width,Drive Chain No. of Links"
Vermeer Part Library,Electrical,Electrical Actuator,,,,,Grant F,6,,ELECACTR,,"ELECACTR,Cavity Count,Parent Mat. Thickness,Color","ELECACTR,12.0IN,1000LB,120V",27,"ELECACTR,Stroke Length,Push Load Capacity,Voltage"
Vermeer Part Library,Electrical,Electrical Cable,,,,,Chris S,6,,ELECCBL,,"ELECCBL,Connector Type,Key","ELECCBL,ETH,100IN",17,"ELECCBL,Cable Type,Length"
Vermeer Part Library,Electrical,Electrical Connector,,,,,Chris S,6,,ELECCONN,,#REF!,"ELECCONN,F,10,RECT,PLUG",23,ELECCONN
Vermeer Part Library,Electrical,Electrical Fan,,,,,Jacob K,,,ELECFAN,,"ELECFAN,Gauge Max Voltage,Motor Mounting Type","ELECFAN,15.5IN,SUCKER",21,"ELECFAN,Fan Diameter,Flow Direction"
Vermeer Part Library,Electrical,Electrical Gauge,,,,,Chris S,7,,ELECGA,,"ELECGA,Cable Type,Stroke Length,Voltage","ELECGA,HRTACH,M5.5,BSPP",23,"ELECGA,Gauge Type"
Vermeer Part Library,Electrical,Electrical Motor,,,,,Jacob K,,,ELECMOT,,"ELECMOT,Encoder Max Voltage,Encoder Min Voltage,Encoder Output Type,Encoder Type,Length,Ethernet Category","ELECMOT,120V,AC,3PH,20KW",24,"ELECMOT,Motor Voltage,Current Type,Number of Phases,Motor Rated Power"
Vermeer Part Library,Electrical,Electronic Control Module,,,,,Chris S,2,,ECM,,"ECM,Core Depth,Custom,Number of Cores,","ECM,BCM,10,10",13,"ECM,Control Module Type,Connector Count,Cavity Count"
Vermeer Part Library,Mechanical,Enclosure,Engine Cabinet,,,,Jacob K,0,,"ENCL, ENGCAB",,"ENCL, ENGCAB","ENCL,ENGCAB",11,"ENCL, ENGCAB"
Vermeer Part Library,Mechanical,Enclosure,Hood,,,,Jacob K,0,,"ENCL,HOOD",,"ENCL,HOOD","ENCL,HOOD",9,"ENCL,HOOD"
Vermeer Part Library,Mechanical,Engine,,,,,Nick M,6,,ENG ,,"ENG ,Encoder Type,Encoder Max Voltage,Displacement","ENG,DSL,3.6L,100HP",18,ENG 
Vermeer Part Library,Fluid/Lubricant,Engine Oil,,,,,Jacob K,,,ENGOIL,,"ENGOIL,Rated Speed,Rated Power-Fuel Type","ENGOIL,DSL,10W-30",17,"ENGOIL,Engine Oil Type,SAE Winter Visc Grade,SAE Visc. Grade"
Vermeer Part Library,Mechanical,Exhaust Coupling,,,,,Jacob K,,,EXHCPLG,,"EXHCPLG,Engine Oil API Rating","EXHCPLG,4.0IN",13,"EXHCPLG,Pipe OD"
Vermeer Part Library,Mechanical,Fabricated Machined,,,,,Jacob K,,,FABMA,,FABMA,FABMA,5,FABMA
Vermeer Part Library,Mechanical,Fabricated Sheetmetal,,,,,Jacob K,,,FABSHMET,,FABSHMET,FABSHMET,8,FABSHMET
Vermeer Part Library,Mechanical,Filter,,,,,Jacob K,0,,FLRT,,"FLRT,Fab Material","FLTR,ENGOIL",11,"FLRT,Filter Type"
Vermeer Part Library,Mechanical,Filter Element,,,,,,,,FLRTELEM,,FLRTELEM,"FLRTELEM,ENGOIL",,"FLRTELEM,Filter Type"
Vermeer Part Library,Mechanical,Fitting,Adapter,,,,Jacob K,,,"FTG,ADPTR",,"FTG,ADPTR,AIR COMPRESSOR Max Flow Rate","FTG,ADPT,FBSPT-2.75"",FNPT-2.75"",Brass",37,"FTG,ADPTR,Adapter Material,End 1 Type,End 2 Type"
Vermeer Part Library,Mechanical,Fitting,Pipe,,,NEW,Chris Z,6,,"FTG,PIPE",,"FTG,PIPE","PIPE,144,SCH XXH,THREADED BOTH ENDS",35,"FTG,PIPE"
Vermeer Part Library,Mechanical,Fitting,A/C System,,,NEW,,0,,"FTG,AC",,"FTG,AC",,0,"FTG,AC"
Vermeer Part Library,Mechanical,Fitting,Cap,,,,Grant F,2,,"FTG,CAP",,"FTG,CAP","FITTING,CAP,16,ORFS",19,"FTG,CAP"
Vermeer Part Library,Mechanical,Fitting,Hose Coupling,,,,Jacob K,,,"FTG,HOSECPLG",,"FTG,HOSECPLG",,,"FTG,HOSECPLG"
Vermeer Part Library,Mechanical,Fitting,Cross Fitting,,,MODIFIED,Grant F,3,,"FTG,CROSS",,"FTG,CROSS","FITTING,CROSS TEE,04,M,ORFS",27,"FTG,CROSS,Cross End 1 Sealing Type"
Vermeer Part Library,Mechanical,Fitting,Diagnostic,,,NEW,,0,,"FTG,DIGN",,"FTG,DIGN",,0,"FTG,DIGN"
Vermeer Part Library,Mechanical,Fitting,Elbow,,,NEW,Grant F,0,,"FTG,ELB",,"FTG,ELB","FITTING,90 DEG,LLL,12,M,ORFS,12,M,ORB",37,"FTG,ELB,Elbow Material,Elbow Angle"
Vermeer Part Library,Mechanical,Fitting,Grease Fitting,,,MODIFIED,Grant F,7,,"FTG,GRS",,"FTG,GRS","FITTING,GREASE ZERK,2,M,NPT",27,"FTG,GRS,Grease Fitting End Size"
Vermeer Part Library,Mechanical,Fitting,Live Swivel,,,,Grant F,7,,"FTG,LIVESWVL",,"FTG,LIVESWVL","FITTING,LIVE SWIVEL,16,M,ORFS,13,M,ORFS",39,"FTG,LIVESWVL"
Vermeer Part Library,Mechanical,Fitting,Plug,,,,Grant F,2,,"FTG,PLG",,"FTG,PLG","FITTING,PLUG,16,ORFS",20,"FTG,PLG"
Vermeer Part Library,Mechanical,Fitting,Restrictor,,,NEW,Grant F,0,,"FTG,RSTR",,"FTG,RSTR","FITTING,RESTRICTOR,0.062,STR,ORB,ORFS",37,"FTG,RSTR"
Vermeer Part Library,Mechanical,Fitting,Straight,,,MODIFIED,Grant F,0,,"FTG,STR",,"FTG,STR",,0,"FTG,STR"
Vermeer Part Library,Mechanical,Fitting,Tee,,,NEW,Jacob K,0,,"FTG,TEE",,"FTG,TEE",,0,"FTG,TEE"
Vermeer Part Library,Mechanical,Fitting,Test,,,MODIFIED,Grant F,0,,"FTG,TEST",,"FTG,TEST",,0,"FTG,TEST"
Vermeer Part Library,Mechanical,Fitting,Vent,,,,Chris Z,3,,"FTG,VENT",,"FTG,VENT","Fitting,Vent,Aluminum,1/2"",BSPT",31,"FTG,VENT,Vent Size,Vent Thread Type"
Vermeer Manufacturing Library,Tooling,Fixture,,,,,Jacob K,,,FXTR,,FXTR,,0,FXTR
Vermeer Part Library,Mechanical,Fluid Actuator,Hydraulic Cylinder,,,,Grant F,9,,HYDRCYL,,HYDRCYL,"HYD CYL,BORE3IN,ROD1IN,STROKE24IN",33,"HYDRCYL,Stroke Length,Hyd. Cyl. CB"
Vermeer Part Library,Mechanical,Fluid Actuator,Pneumatic Cylinder,,,,Grant F,0,,PNEUCYL,,PNEUCYL,"PNU CYL,BORE3IN,STROKE24IN,04,NPT",33,"PNEUCYL,Ext Length"
Vermeer Part Library,Mechanical,Fluid Conductor,Tube,,,QUESTION,Grant F,8,,TUBE,,TUBE,"CAC TUBE,3.00IN,W.065IN",23,"TUBE,Tube Type,Tube Material Code"
Vermeer Part Library,Mechanical,Fluid Conductor,Hose  ,,,QUESTION,Grant F,10,,HOSE,,HOSE,"FORMED INTAKE HOSE,1.50IN,4.00IN",32,"HOSE,"
Vermeer Part Library,Mechanical,Fluid Tank,,,,,Jacob K,0,,FLTK,,FLTK,"FLTK,SURGE,1000GALLON",21,"FLTK,Tank Type,Tank Capacity"
Vermeer Part Library,Fluid/Lubricant,Fuel,,,,,Andrew T,2,,FUEL ,,FUEL ,,0,FUEL 
Vermeer Part Library,Electrical,Fuel Pump,,,,,Jacob K,,,FUELPMP,,"FUELPMP,Pipe Thread Type,Pipe Size,Length",,,"FUELPMP,Flow Rate"
Vermeer Part Library,Mechanical,Fuel Tank,,,,,,,,FUELTK,,FUELTK,FUELTK,,FUELTK
Vermeer Part Library,Mechanical,Gas Shock,,,,,Nick M,6,,GASSH,,GASSH,"GASSH,100IN",11,"GASSH,Ext Length"
Vermeer Part Library,Mechanical,Gear,,,,,Jacob K,,,GEAR,,GEAR,"GEAR,ANLRMIT",12,"GEAR,Gear Type"
Vermeer Part Library,Fluid/Lubricant,Gear Oil,,,,,Andrew T,5,,GRO ,,GRO ,,0,GRO 
Vermeer Part Library,Mechanical,Gear Rack,,,,MODIFIED,Nick M,3,,GRK,,GRK,"GRK,HLCL,100IN",14,"GRK,Gear Rack Type,Rack Length"
Vermeer Part Library,Mechanical,Gearbox,,,,MODIFIED,Andrew T,7,,GRBX,,GRBX,"GRBX,ANGLE",10,"GRBX,Gear Box Input-Output Alignment"
Vermeer Part Library,Electrical,Generator ,,,,,Chris S,7,,GEN,,GEN,,0,"GEN,Gen. Power Rating,Gen. Voltage,Gen. Frequency"
Vermeer Part Library,Fluid/Lubricant,Grease,,,,,Andrew T,7,,GRS,,GRS,,0,"GRS,Grease Thickener Type,Grease NLGI Consistency,Grease Base Oil Type"
Vermeer Part Library,Mechanical,Gusset,,,,,Jacob K,0,,GUS,,GUS,"GUS,PUSHIN",10,"GUS,Gusset Material"
Vermeer Part Library,Mechanical,Hardware,Battery Hold Down,,,,Jacob K,,,BTRYHOLDDN,,BTRYHOLDDN,BTRYHOLDDN,10,BTRYHOLDDN
Vermeer Part Library,Mechanical,Hardware,Battery Box,,,,Jacob K,,,BTRYBX,,BTRYBX,"BTRYBX,GRP78",12,"BTRYBX,Battery Group Size"
Vermeer Part Library,Mechanical,Hardware,Grommet,,,NEW,Ien Q,4,,GROM,,GROM,"GROM,PUSHIN",11,"GROM,Grommet Type "
Vermeer Part Library,Mechanical,Hardware,Edge Trim,,,NEW,Jacob K,0,,EDGETRIM,,EDGETRIM,"EDGETRIM,PLSTC",14,"EDGETRIM,Edge Trim Mat."
Vermeer Part Library,Mechanical,Hardware,Bolt,,,NEW,Ien Q,5,,BOLT,,BOLT,,0,"BOLT,Bolt Type,Length,Bolt Grade / Class,Bolt Thread Size,Bolt Coating"
Vermeer Part Library,Mechanical,Hardware,Nut,,,NEW,Grant F,0,,NUT,,NUT,"NUT,BULKHEAD,16",15,"NUT,Nut Type,Bolt Grade / Class,Nut Thread Size,Bolt Coating"
Vermeer Part Library,Mechanical,Hardware,Pin,,,NEW,Ien Q,5,,PIN,,PIN,"PIN,COILSPR",11,"PIN,Pin Type"
Vermeer Part Library,Mechanical,Hardware,Rivet,,,NEW,Chris Z,3,,RVT,,RVT,"RVT,SHLDR,SST",13,"RVT,Rivet Type,Rivet Material"
Vermeer Part Library,Mechanical,Hardware,Screw,,,NEW,Chris Z,1,,SCR,,SCR,"Hex Head Screw,Serrated Flange,.375,1.25,Grade 5",48,"SCR,Screw Type,Screw Thread Size,Length,Bolt Grade/Class"
Vermeer Part Library,Mechanical,Hardware,Washer,,,NEW,Ien Q,0,,WSHR,,WSHR,,0,"WSHR,Washer Type,Washer Material,Washer Grade/Class"
Vermeer Part Library,Mechanical,Hardware,Flange Half,,,,Grant F,0,,FLGHALF,,FLGHALF,,0,FLGHALF
Vermeer Part Library,Mechanical,Hardware,Flange Kit,,,,Grant F,0,,FLGKIT,,FLGKIT,,0,FLGKIT
Vermeer Part Library,Mechanical,Hardware,Wash Gun,,,MODIFIED,Erin Z,5,,WASHGUN,,WASHGUN,WASHGUN,7,WASHGUN
Vermeer Part Library,Mechanical,Hardware,Actuator Cable,,,NEW,Ien Q,4,,ACTRCBL,,ACTRCBL,"ACTUATOR CABLE,THROTTLE,72.5",28,"ACTRCBL,Stroke Length"
Vermeer Part Library,Mechanical,Hardware,Clevis,,,,Ien Q,1,,CLEVIS,,CLEVIS,"CLEVIS,NOTHRD",13,"CLEVIS,Clevis Type"
Vermeer Part Library,Mechanical,Hardware,Handle,,,MODIFIED,Ien Q,2,,HDL,,HDL,"HDL,EDGEPULL",12,"HDL,Handle Style"
Vermeer Part Library,Mechanical,Hardware,Hinge,,,MODIFIED,Ien Q,1,,HNG,,HNG,,0,HNG
Vermeer Part Library,Mechanical,Hardware,Latch,,,MODIFIED,Ien Q,3,,LCH,,LCH,,0,LCH
Vermeer Part Library,Mechanical,Hardware,Magnet,,,QUESTION,Ien Q,3,,MAG,,MAG,,0,MAG
Vermeer Part Library,Mechanical,Hardware,Nozzle,,,,Ien Q,7,,NOZ,,NOZ,"NOZ,BSPP,RTRY",13,"NOZ,Nozzle Inlet Thread Type,Nozzle Type"
Vermeer Part Library,Mechanical,Hardware,Shaft Key,,,MODIFIED,Ien Q,3,,SFTKEY,,SFTKEY,,0,SFTKEY
Vermeer Part Library,Mechanical,Hardware,Snap Ring,,,MODIFIED,Ien Q,5,,SNAPRING,,SNAPRING,"SNAPRING,PUSHON",15,"SNAPRING,Ring Type"
Vermeer Part Library,Mechanical,Hardware,Strap,,,,Ien Q,3,,STRP,,STRP,"STRP,BRD,NYLN",13,"STRP,Strap Type ,Strap Material"
Vermeer Part Library,Mechanical,Hardware,U-Joint,,,,Ien Q,7,,UJT,,UJT,,0,UJT
Vermeer Part Library,Mechanical,Hardware,Wear Pad,,,,Ien Q,3,,WEARPAD,,WEARPAD,,0,WEARPAD
Vermeer Part Library,Mechanical ,Hardware,J-Bolt,,,,Jacob K,,,JBOLT,,JBOLT,,0,"JBOLT,J-Bolt Thread Size"
Vermeer Part Library,Mechanical ,Hardware,U-Bolt,,,,Jacob K,6,,UBOLT,,UBOLT,,0,UBOLT
Vermeer Part Library,Mechanical,Hardware,Deflector,,,,,1,,DFTR,,DFTR,,0,DFTR
Vermeer Part Library,Mechanical,Hardware,Weld Ring,,,MODIFIED,Grant F,5,,WELDRING,,WELDRING,"WELD RING,OVAL,.25IN,2IN",24,"WELDRING,Weld Ring Type"
Vermeer Part Library,Mechanical,Hose Assembly,,,,,,,,HOSEASSY,,HOSEASSY,"HOSEASSY,COOLM,64",,"HOSEASSY,Fluid Type,Hose Size"
Vermeer Part Library,Mechanical,Hose Individual,,,,,,,,HOSE,,HOSE,,,"HOSE,"
Vermeer Part Library,Mechanical,Hose Kit,,,,,,,,HOSEKIT,,HOSEKIT,,,HOSEKIT
Vermeer Part Library,Mechanical,Hose Routing,,,,,Jacob K,,,HOSERTE,,HOSERTE,,0,HOSERTE
Vermeer Part Library,Mechanical,Hydraulic Motor,,,,,Grant F,0,,HYDRMTR,,HYDRMTR,"HYD MOTOR,ROTARY PISTON,50CU.IN,6250PSI",39,HYDRMTR
Vermeer Part Library,Fluid/Lubricant,Hydraulic Oil,,,,,Andrew T,4,,HO ,,HO ,,0,HO 
Vermeer Part Library,Mechanical,Hydraulic Pump,,,,,Grant F,0,,HYDRPUMP,,HYDRPUMP,"HYD PUMP,50CU.IN,6250PSI",24,HYDRPUMP
Vermeer Part Library,Mechanical,Jack,,,,,Chris Z,2,,JACK,,JACK,"Jack,Weld-on,10,000 lbs",23,"JACK,Jack Mount Type,Jack Load Capacity"
Vermeer Part Library,Electrical,Joystick,,,,,Jacob K,,,JSTICK,,JSTICK,,0,"JSTICK,Joystick Axes,Joystick Type"
Vermeer Part Library,Electrical,Keypad,,,,,Jacob K,,,KEYPAD,,KEYPAD,,0,"KEYPAD,Row Count,Column Count"
Vermeer Part Library,Mechanical,Label,"Decal, Safety",,,MODIFIED,Jacob K,0,,"DECAL,SAFETY",,"DECAL,SAFETY,Curtain Thickness","DECAL,SAF",9,"DECAL,SAFETY"
Vermeer Part Library,Mechanical,Label,"Decal, Control",,,,Jacob K,,,"DECAL,CONTROL",,"DECAL,CONTROL",,0,"DECAL,CONTROL"
Vermeer Part Library,Mechanical,Label,"Decal, Control Multi",,,,Jacob K,,,"DECAL,CONTROLMULTI",,"DECAL,CONTROLMULTI",,0,"DECAL,CONTROLMULTI"
Vermeer Part Library,Mechanical,Label,"Decal, Information",,,,Jacob K,,,"DECAL,INFO",,"DECAL,INFO","DECAL,INFO",10,"DECAL,INFO"
Vermeer Part Library,Mechanical,Label,"Decal, Fuse Panel",,,,Jacob K,,,"DECAL,FUSEPANEL",,"DECAL,FUSEPANEL",,0,"DECAL,FUSEPANEL"
Vermeer Part Library,Mechanical,Label,"Decal, Lube Chart",,,,Jacob K,,,"DECAL,LUBECHART",,"DECAL,LUBECHART",,0,"DECAL,LUBECHART"
Vermeer Part Library,Mechanical,Label,"Decal, Impact Stripe",,,,Jacob K,,,"DECAL,STRIPE",,"DECAL,STRIPE",,,"DECAL,STRIPE"
Vermeer Part Library,Mechanical,Label,"Decal, Control Panel",,,,Jacob K,,,"DECAL,CONTPANEL",,"DECAL,CONTPANEL",,,"DECAL,CONTPANEL"
Vermeer Part Library,Mechanical,Label,"Decal, Logo",,,,Jacob K,,,"DECAL,LOGO",,"DECAL,LOGO",,,"DECAL,LOGO"
Vermeer Part Library,Mechanical,Label,"Decal, Private Label",,,,Jacob K,,,"DECAL,PRIVATELBL",,"DECAL,PRIVATELBL",,,"DECAL,PRIVATELBL"
Vermeer Part Library,Mechanical,Label,"Decal, Protective",,,,Jacob K,,,"DECAL,PROT",,"DECAL,PROT",,,"DECAL,PROT"
Vermeer Part Library,Mechanical,Label,"Decal, Sound Level",,,,Jacob K,,,"DECAL,SNDLVL",,"DECAL,SNDLVL",,,"DECAL,SNDLVL"
Vermeer Part Library,Mechanical,Label,"Decal, Speed Indication Symbol",,,,Jacob K,,,"DECAL,SIS",,"DECAL,SIS",,,"DECAL,SIS"
Vermeer Part Library,Mechanical,Label,"Plate, PIN",,,,Jacob K,,,"PLATE,PIN",,"PL,PIN","PL,PIN",6,"PLATE,PIN"
Vermeer Part Library,Mechanical,Label,"Plate, VIN",,,,Jacob K,,,"PLATE,VIN",,"PL,VIN","PL,VIN",6,"PLATE,VIN"
Vermeer Part Library,Mechanical,Label,"Plate, Miscellaneous",,,,Jacob K,,,"PLATE,MISC",,"PL,ENGEMSN","PL,ENGEMSN",10,"PLATE,MISC"
Vermeer Part Library,Electrical,Light ,,,,,Jacob K,,,LT,,LT,,0,"LT,Light Color"
Vermeer Part Library,Document Part,Manual,,,,MODIFIED,Erin Z,0,,"DOC,MAN",,"DOC,MAN",,0,"DOC,MAN"
Vermeer Part Library,Mechanical,Material Engage,Adapter,,,,,,,ADPTR,,ADPTR,,,"ADPTR,"
Vermeer Part Library,Mechanical,Material Engage,Track Chain,,,,,,,TRKCHAIN,,TRKCHAIN,,,TRKCHAIN
Vermeer Part Library,Mechanical,Material Engage,Hole Openers,,,,,,,HOLEOPR,,HOLEOPR,,,HOLEOPR
Vermeer Part Library,Mechanical,Material Engage,Dirt Housing,,,,,,,DIRTHSG,,DIRTHSG,,,DIRTHSG
Vermeer Part Library,Mechanical,Material Engage,Narrow Cut Wheel,,,,,,,NARCUTWHL,,NARCUTWHL,,,NARCUTWHL
Vermeer Part Library,Mechanical,Material Engage,Pile Driver Guide,,,,,,,PILEDRVRGDE,,PILEDRVRGDE,,,PILEDRVRGDE
Vermeer Part Library,Mechanical,Material Engage,Plate Bit,,,,,,,PLBIT,,PLBIT,,,PLBIT
Vermeer Part Library,Mechanical,Material Engage,Puller,,,,,,,PLR,,PLR,,,"PLR,"
Vermeer Part Library,Mechanical,Material Engage,RH Head,,,,,,,RHHEAD,,RHHEAD,,,RHHEAD
Vermeer Part Library,Mechanical,Material Engage,Soft Rock Bit,,,,,,,SOFTROCKBIT,,SOFTROCKBIT,,,SOFTROCKBIT
Vermeer Part Library,Mechanical,Material Engage,UT Rockwheel,,,,,,,UTROCKWHL,,UTROCKWHL,,,UTROCKWHL
Vermeer Part Library,Mechanical,Material Engage,Track Wheel,,,,,,,TRKWHL,,TRKWHL,,,TRKWHL
Vermeer Part Library,Mechanical,Material Engage,EV Screen,,,,,,,EVSCREEN,,EVSCREEN,,,EVSCREEN
Vermeer Part Library,Mechanical,Material Engage,EV Grinder Block,,,,,,,EVGRINDERBLK,,EVGRINDERBLK,,,EVGRINDERBLK
Vermeer Part Library,Mechanical,Material Engage,Drill Rod,,,,,,,DRILLROD,,DRILLROD,,,DRILLROD
